"id";"company";"industry";"company_scale";"ai_area";"use_case";"quantitative_effect";"effect_status";"implementation_pattern";"revizor_zone";"how_to_reuse_in_recommendations";"source_url";"source_type";"confidence"
"AI-066";"Wilhelmsen";"Shipping, logistics";"enterprise";"Intelligent automation";"Automation program for shipping operations";"15 processes automated, 11K hours saved, USD 300K saved, USD 1M savings potential";"actual";"UiPath RPA and automation excellence";"operations, finance";"Use as operations benchmark for logistics and shared-service workflows";"https://www.uipath.com/resources/automation-case-studies/wilhelmsen-the-voyage-to-intelligent-automation-excellence";"primary vendor customer story";"high"
"AI-067";"Uber";"Mobility, technology";"enterprise";"RPA operations automation";"Global operations automation with UiPath and Accenture";"100+ automations, USD 10M annual savings, USD 22M+ savings over 3 years, USD 500K saved each month, 350% ROI in one year";"actual";"UiPath RPA for global operations coordination";"operations, finance";"Use as strong ROI case for automating back-office operations at scale";"https://www.uipath.com/resources/automation-case-studies/uber-maintains-global-infrastructure-built-on-rpa";"primary vendor customer story";"high"
"AI-068";"Dexcom";"Healthcare devices";"enterprise";"AI-powered manufacturing automation";"Automation of manufacturing and operational workflows";"200K hours to save in a year, cycle time reduced 80%, business growth 50%";"actual";"UiPath AI-powered automation";"operations, finance";"Use as benchmark for cycle-time reduction in regulated operations";"https://www.uipath.com/resources/automation-case-studies/ai-powered-automation-transforms-dexcom-efficiency";"primary vendor customer story";"high"
"AI-069";"Cato Networks";"Cybersecurity";"enterprise";"AI support automation";"AI agents for Zendesk ticket classification and resolution";"30-40% of support tickets possible to resolve by agents, about 60% of IT tickets possible to automate, 330% ROI projected within 3 months";"projected";"UiPath agentic automation for support and IT tickets";"operations";"Use cautiously as projected benchmark for ticket triage ROI";"https://www.uipath.com/resources/automation-case-studies/cato-networks-accelerates-customer-support-with-ai-innovation";"primary vendor customer story";"medium"
"AI-070";"Salesforce";"Enterprise software";"enterprise";"Agentic sales operations";"Agentforce for Salesforce sellers, onboarding and quote creation";"Quote creation 75% faster";"actual";"Agentforce agents across lead qualification, product Q&A, quotes, briefs and coaching";"marketing, operations";"Use as direct sales and proposal-generation benchmark for Revizor's КП workflow";"https://www.salesforce.com/customer-stories/agentforce-for-sales-implementation/";"primary company case story";"high"
"AI-071";"OpenTable";"Hospitality, reservations";"enterprise";"Customer service AI agent";"Agentforce for diner and restaurant web queries";"After 3 weeks, AI agent handled 73% of restaurant web queries, a 50% improvement from previous tool";"actual";"Autonomous service agent with ticket creation";"operations, marketing";"Use as benchmark for front-door Q&A and self-service qualification";"https://www.salesforce.com/news/stories/agentforce-customer-success-stories/shoe-carnival/";"primary vendor story";"high"
"AI-072";"1-800Accountant";"Accounting services";"enterprise";"Customer support AI agent";"Agentforce scales tax-season support";"Resolves 50% of customer support inquiries, over 1,000 client engagements resolved in first 24 hours";"actual";"Agentforce support agent grounded in service data";"operations, marketing";"Use as benchmark for seasonal demand spikes and standard-question automation";"https://investor.salesforce.com/news/news-details/2025/1-800Accountant-Adopts-Salesforces-Agentforce-to-Scale-Expertise-During-Tax-Season-Surge-Now-Resolving-50-of-Customer-Support-Inquiries-with-Digital-Labor/default.aspx";"primary company press release";"high"
"AI-073";"Datasite";"M&A technology, financial services";"enterprise";"Customer support AI agent";"Agentforce handles day-to-day chat questions";"Resolves 70% of day-to-day chat questions accurately, 24/7";"actual";"AI service agent with escalation to humans";"operations, marketing";"Use as benchmark for consultative service desks where routine questions block experts";"https://www.salesforce.com/news/stories/agentforce-customer-success-stories/nexo/";"primary vendor story";"medium"
"AI-074";"Formula 1";"Sports, media";"enterprise";"Fan support AI agent";"Agentforce with unified fan data and brand-voice replies";"Expected 80% faster response times";"projected";"Agentforce and Data Cloud for unified profiles and agent replies";"marketing, operations";"Use as projected benchmark for profile-aware response generation";"https://www.salesforce.com/news/stories/agentforce-customer-success-stories/inforge/";"primary vendor story";"medium"
"AI-075";"Grupo Globo";"Media";"enterprise";"Retention AI agent";"Agentforce customer experience automation";"Early Agentforce success showed 22% increase in retention rates compared to previous bot";"actual";"Agentforce service automation";"marketing, finance";"Use as benchmark where AI recommendations can affect retention and recurring revenue";"https://www.salesforce.com/news/stories/agentforce-customer-success-stories/inforge/";"primary vendor story";"medium"
"AI-076";"Shoe Carnival";"Retail";"enterprise";"Contact center AI agent";"Agentforce for customer calls and case escalation";"Goal to handle 40% of customer call volume, reduce escalations to human agents from 75% to 35%, lower cost per interaction";"projected";"Agentforce service agent with escalation controls";"operations, finance";"Use cautiously as target-setting example for support automation KPIs";"https://www.salesforce.com/news/stories/agentforce-customer-success-stories/nexo/";"primary vendor story";"medium"
"AI-077";"Asymbl";"Professional services technology";"mid-market";"AI SDR, lead engagement";"Agentforce automates daily lead engagement across inbound, outbound and nurture";"Same coverage as a team 5x larger, USD 575K annual savings, targeted engagement scaled by 427%";"actual";"Agentforce SDR workflow with human focus on strategic outreach";"marketing, finance";"Use as direct benchmark for automated lead qualification before consultant involvement";"https://www.salesforce.com/news/stories/agentforce-customer-success-stories/nexo/";"primary vendor story";"medium"
"AI-078";"Engine";"Travel technology";"enterprise";"Support AI agent";"Agentforce resolves routine cancellation requests";"Average handle time down 15%, estimated USD 2M annual cost savings";"actual";"Agentforce support automation with human escalation";"operations, finance";"Use as benchmark for transactional support and cancellation/booking flows";"https://www.salesforce.com/news/stories/agentforce-customer-success-stories/nexo/";"primary vendor story";"medium"
"AI-079";"Sweeping Corporation of America";"Facilities, municipal services";"enterprise";"Customer operations AI agent";"Agentforce streamlines work order submission and scheduling";"Estimated USD 10M operational cost savings";"projected";"Agentforce resolving common cases via text or call";"operations, finance";"Use cautiously as benchmark for work-order automation value sizing";"https://www.salesforce.com/news/stories/agentforce-customer-success-stories/nexo/";"primary vendor story";"medium"
"AI-080";"Finnair";"Airline, travel";"enterprise";"Customer service AI agent";"Agentforce for service questions and onboarding support";"Aims to automate 80% of customer service questions and reduce new representative onboarding time by 25%";"projected";"Agentforce support automation";"operations, team";"Use cautiously as target benchmark for support automation plus onboarding";"https://www.salesforce.com/news/stories/agentforce-customer-success-stories/nexo/";"primary vendor story";"medium"
"AI-081";"IBM AskHR";"Technology, consulting";"enterprise";"HR agentic AI";"AskHR handles employee HR support and automates HR tasks";"40% reduction in HR operational costs over 4 years, 94% containment rate for common questions, support tickets down 75% since 2016, 11.5M employee interactions in 2024, around 80 automated tasks";"actual";"watsonx Orchestrate agent integrated with Workday, SAP and Concur";"team, operations, finance";"Use as benchmark for internal support agents and employee-service automation";"https://www.ibm.com/case-studies/ibm-askhr";"primary company case study";"high"
"AI-082";"IBM Virtual Enterprise";"Technology, consulting";"enterprise";"AI and automation at scale";"AI/cloud intelligent workflows across IBM operations";"USD 2.6B business value, 4M work hours saved, AI and automation infused into 65% of workflows, employee engagement up 20 points, 25 AI assets commercialized";"actual";"Cross-enterprise intelligent workflows with AI and hybrid cloud";"strategy, operations, finance";"Use as executive-level benchmark for portfolio-scale AI transformation";"https://www.ibm.com/case-studies/virtual-enterprise-intelligent-workflows";"primary company case study";"high"
"AI-083";"DBS Bank";"Banking";"enterprise";"Industrialized AI/ML, personalization, fraud";"Bank-wide AI/ML portfolio and personalized financial nudges";"Over SGD 750M economic value in 2024, 1,500+ models, 370+ use cases, 1.2B personalized nudges to 13M+ customers, engaged users saved 2x more, invested 5x more and were nearly 3x more insured than non-users";"actual";"Enterprise AI factory with model governance and customer journey integration";"strategy, marketing, finance";"Use as benchmark for portfolio-level AI value tracking and recommendation impact measurement";"https://www.dbs.com/annualreports/2024/innovating-impactful-solutions-for-customers.html";"primary company annual report";"high"
"AI-084";"JPMorgan Chase";"Banking";"enterprise";"Legal document AI";"COiN Contract Intelligence analyzes commercial loan agreements";"Reported 360K hours saved annually, 12K commercial credit agreements processed in seconds instead of manual review";"actual";"NLP contract intelligence platform";"finance, operations";"Use as document-analysis benchmark, but verify from primary materials before board-level claims";"https://greendata.io/insights/jpmorgan-chase-coin-contract-intelligence";"secondary case study";"medium"
"AI-085";"UPS";"Logistics, transportation";"enterprise";"Route optimization, operations research";"ORION optimizes delivery routes for distance, fuel and time";"Reduces miles traveled by 100M annually, estimated 10M gallons of fuel saved annually, 100K metric tons CO2 reduced, up to USD 50M annual savings according to FHWA summary";"actual";"Optimization algorithms and machine learning over route and telematics data";"operations, finance";"Use as benchmark for optimization recommendations where route, scheduling or field operations matter";"https://ops.fhwa.dot.gov/publications/fhwahop19015/2018summary24.htm";"government summary of company project";"high"
"AI-086";"Walmart";"Retail, procurement";"enterprise";"AI negotiation, procurement";"Pactum AI negotiates tail-end supplier contracts";"Pilot reports: 64% supplier agreements reached, about 1.5% savings on negotiated spend, payment terms extended by about 35 days, 83% of successful suppliers described the system as easy to use";"actual";"AI negotiation chatbot for high-volume low-value procurement";"finance, operations";"Use as benchmark for AI-assisted negotiation and commercial-offer optimization, but validate source before financial pitch";"https://thunderbird.asu.edu/thought-leadership/journals-case-series/case-series-listing/pactums-ai-contract-negotiations";"business school case abstract";"medium"
"AI-087";"PwC";"Professional services, consulting";"enterprise";"Microsoft 365 Copilot productivity";"Global Copilot rollout and platform consolidation";"USD 150M time savings from Copilot use plus USD 25M platform consolidation savings; 200K+ Copilot licenses and 40.8M Copilot actions in 6 months";"actual";"Global Copilot rollout plus consolidation of productivity tooling";"team, finance, operations";"Use as top consulting benchmark for capacity creation and tool consolidation economics";"https://www.microsoft.com/en/customers/story/26160-pwc-microsoft-365-enterprise";"primary vendor customer story";"high"
"AI-088";"ServiceNow";"Enterprise software";"enterprise";"Internal AI productivity";"Internal AI operating leverage and workflow automation";"Reported USD 100M AI-related operating expense/headcount savings in 2025 and USD 500M annualized value";"actual";"Internal AI deployment across enterprise workflows";"strategy, finance, team";"Use cautiously as public-reporting benchmark for AI operating leverage; source is secondary reporting";"https://www.businessinsider.com/servicenow-targets-over-30-billion-subscription-revenue-2030-2026-5";"secondary news";"medium"
"AI-089";"IBM Supply Chain";"Technology, supply chain";"enterprise";"AI and automation in supply chain";"AI and automation reduce supply-chain costs";"USD 160M supply chain cost reduction; reduced inventory and optimized shipping costs";"actual";"AI and automation for supply-chain decisioning";"operations, finance";"Use for inventory, logistics and procurement diagnostics";"https://www.ibm.com/consulting/supply-chain";"primary company page";"high"
"AI-090";"Prime Focus Technologies";"Media and entertainment";"enterprise";"Agentic AI localization";"AI automates subtitling, translation and transcript workflows";"20-30% lower content localization costs, 30-40% faster turnaround, 20-30% more accurate outcomes";"actual";"Agentic AI content localization on Amazon Bedrock";"operations, marketing, finance";"Use for proposal localization and multilingual content production";"https://aws.amazon.com/solutions/case-studies/prime-focus-case-study/";"primary vendor customer story";"high"
"AI-091";"BlueOceanAI";"Marketing analytics";"enterprise";"Agentic AI brand strategy";"Multi-agent brand intelligence and marketing analytics";"66-96% lower marketing analytics costs, 21% lower operating expenses, 4x faster marketing investment payback";"actual";"Multi-agent brand intelligence framework on Amazon Bedrock";"marketing, finance, strategy";"Use for marketing audit and competitive intelligence ROI cases";"https://aws.amazon.com/solutions/case-studies/blueoceanai-bedrock/";"primary vendor customer story";"high"
"AI-092";"BDM";"Document AI";"enterprise";"Document analysis automation";"Generative AI accelerates document analyses";"50% development cost reduction, 40% lower operational effort, 85% faster analyses, 98% accuracy";"actual";"Generative AI document-processing models on Amazon Bedrock";"operations, finance";"Use for PDF/Excel audit automation with cost and accuracy metrics";"https://aws.amazon.com/solutions/case-studies/bdm-case-study/";"primary vendor customer story";"high"
"AI-093";"Affinda";"Document AI";"enterprise";"Document AI product delivery";"Generative AI accelerates new document use cases";"90% cost savings for product delivery team and 90% setup-time reduction for new document use cases";"actual";"Generative AI document extraction on Amazon Bedrock";"operations, finance";"Use for reducing onboarding cost of new document formats";"https://aws.amazon.com/solutions/case-studies/affinda-case-study/";"primary vendor customer story";"high"
"AI-094";"Esper";"Mobile device management";"enterprise";"Cloud and AI infrastructure modernization";"Infrastructure modernization reduces compute cost";"USD 250K annual cost savings, 30% lower compute costs, 25% application performance improvement";"actual";"AWS Graviton migration for scalable backend";"operations, finance";"Use for AI infrastructure cost-control recommendations";"https://aws.amazon.com/solutions/case-studies/esper-case-study/";"primary vendor customer story";"high"
"AI-095";"Noodoe";"EV charging";"enterprise";"Generative AI pricing advisor";"AI recommends pricing for charging stations";"10-25% revenue increase for charging station operators, up to 3x faster time to market, 10% lower development costs";"actual";"Generative AI pricing recommendations using Amazon Bedrock";"marketing, finance, strategy";"Use for price optimization and revenue uplift recommendations";"https://aws.amazon.com/solutions/case-studies/noodoe/";"primary vendor customer story";"high"
"AI-096";"Towngas";"Utilities";"enterprise";"Cloud modernization and AI foundation";"Modernization creates AI-ready cost base";"30-40% lower IT costs, 50% less infrastructure management time, 150% faster service development";"actual";"AWS migration and modernization with AI-ready foundation";"operations, finance, strategy";"Use for IT cost reduction and AI-readiness roadmap";"https://aws.amazon.com/solutions/case-studies/towngas/";"primary vendor customer story";"high"
"AI-097";"Innovaccer";"Healthcare AI";"enterprise";"Cloud and AI platform modernization";"Modernized healthcare data platform reduces cloud cost";"33% lower cloud computing costs, 65% less management overhead, 30% better data processing performance";"actual";"AWS modernization using Aurora, EKS, Graviton, SageMaker and Bedrock";"operations, finance";"Use for healthcare/data-platform cost optimization";"https://aws.amazon.com/solutions/case-studies/innovaccer-2024/";"primary vendor customer story";"high"
"AI-098";"Vital";"Healthcare software";"enterprise";"Clinical GenAI parsing";"Model optimization reduces clinical AI parsing cost";"23x cost savings using Amazon Nova Micro for clinical data parsing, 99% safety evaluation accuracy";"actual";"Amazon Nova and Bedrock for clinical record analysis";"operations, finance, strategy";"Use for model-routing economics: smaller model for extraction, stronger model for reasoning";"https://aws.amazon.com/solutions/case-studies/vital-bedrock/";"primary vendor customer story";"high"
"AI-099";"Toolstation";"Retail ecommerce";"enterprise";"AI product search";"AI search improves revenue from site search";"5.5% increase in overall search-based revenue, no-results searches cut from 2% to 0.1%, CTR +10%";"actual";"Vertex AI Search for commerce";"marketing, finance";"Use for ecommerce search and conversion uplift recommendations";"https://cloud.google.com/customers/toolstation-product-search";"primary vendor customer story";"high"
"AI-100";"Sift Lab";"Marketing analytics";"enterprise";"Marketing intelligence";"AI marketing platform improves revenue and ROAS";"5-7% uplift in annual revenue across enterprise clients, ROAS +40-50%, campaign performance up to 200%, analytics 10x faster";"actual";"Google Cloud marketing data intelligence platform";"marketing, finance, strategy";"Use for marketing attribution and campaign optimization cases";"https://cloud.google.com/customers/sift-lab";"primary vendor customer story";"high"
"AI-101";"IndiGo";"Airline";"enterprise";"AI booking channel";"Conversational AI creates new booking revenue";"INR 60+ crore, approx USD 7.2M, in new revenue; 1M+ boarding passes issued through WhatsApp check-in";"actual";"Vertex AI and Gemini conversational booking assistant";"marketing, finance, operations";"Use for chat-based revenue channel and lead-to-sale automation";"https://cloud.google.com/customers/indigo";"primary vendor customer story";"high"
"AI-102";"AES";"Energy";"enterprise";"GenAI safety audit";"AI automates audit review";"Audit costs reduced by 99%, audit results from 14 days to 1 hour, annual audit capacity doubled";"actual";"Vertex AI and Claude for safety-audit agents";"operations, finance, strategy";"Use for audit automation and expert-review cost reduction";"https://cloud.google.com/customers/aes";"primary vendor customer story";"high"
"AI-103";"AdVon Commerce";"Retail content";"enterprise";"GenAI product content";"AI content enhancement grows ecommerce revenue";"USD 17M revenue increase in 60 days, average daily sales +67%, conversions +41%, top search placements +30%";"actual";"Gemini and Veo for product content enhancement";"marketing, finance";"Use for catalog/content recommendations with revenue uplift benchmarks";"https://cloud.google.com/customers/advon";"primary vendor customer story";"high"
"AI-104";"Pints.ai";"Financial AI platform";"mid-market";"AI workflow optimization";"AI model workflow optimization reduces project costs";"Over USD 45K saved in pre-training, fine-tuning and labor costs, 30% overall cost reduction";"actual";"Google Cloud GPU and Vertex AI optimization";"operations, finance";"Use for cost-aware model training and model-selection recommendations";"https://cloud.google.com/customers/pints-ai";"primary vendor customer story";"high"
"AI-105";"Wipro Enterprises";"FMCG";"enterprise";"AI sales recommendations";"AI recommends outlets and sales actions";"AI recommendations boost retail sales lines by 15-20%, 15,000 new outlets identified, 30-40% repeat purchase rate from new outlets";"actual";"Vertex AI, BigQuery and Google Maps for sales expansion";"marketing, finance, strategy";"Use for market expansion and sales-prioritization recommendations";"https://cloud.google.com/customers/wipro-da";"primary vendor customer story";"high"
"AI-106";"THE ICONIC";"Fashion ecommerce";"enterprise";"AI search and discovery";"AI search improves ecommerce revenue";"2.6% increase in revenue, null customer searches reduced from 5% to almost 0";"actual";"AI-powered search and discovery on Google Cloud";"marketing, finance";"Use for ecommerce discovery uplift benchmark";"https://cloud.google.com/customers/the-iconic";"primary vendor customer story";"high"
"AI-107";"MCI Group";"Events, professional services";"enterprise";"Microsoft 365 Copilot adoption";"Copilot productivity converted to savings potential";"A 1% productivity increase could mean USD 2M annual savings potential";"projected";"Copilot adoption with team AI transformation plans and prompt library";"team, finance";"Use for conservative productivity-to-money conversion in professional-services firms";"https://www.microsoft.com/en/customers/story/21168-mci-group-microsoft-365-copilot";"primary vendor customer story";"high"
"AI-108";"Broward County Public Schools";"Education, public sector";"enterprise";"Microsoft 365 Copilot and facilities analytics";"Copilot and analytics target facilities savings";"Projected USD 40-50M facilities savings over 5 years, educators reclaimed 6-7 hours weekly";"projected";"Copilot licenses plus data-rich operational workflows";"operations, finance, team";"Use cautiously for public-sector productivity and facilities optimization";"https://www.microsoft.com/en/customers/story/26258-broward-county-public-schools-microsoft-365-copilot";"primary vendor customer story";"medium"
